List Of Dependencies of this project (direct and indirect)                                        
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Package                   ┃ License(s)                                         ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┩
│ Jinja2                    │ BSD LICENSE                                        │
│ MarkupSafe                │ BSD LICENSE                                        │
│ PyYAML                    │ MIT LICENSE                                        │
│ Pygments                  │ BSD LICENSE                                        │
│ Send2Trash                │ BSD LICENSE                                        │
│ aiohappyeyeballs          │ PYTHON SOFTWARE FOUNDATION LICENSE                 │
│ aiohttp                   │ APACHE SOFTWARE LICENSE                            │
│ aiosignal                 │ APACHE SOFTWARE LICENSE                            │
│ anyio                     │ MIT LICENSE                                        │
│ argon2-cffi               │ MIT LICENSE                                        │
│ argon2-cffi-bindings      │ MIT LICENSE                                        │
│ arrow                     │ APACHE SOFTWARE LICENSE                            │
│ asttokens                 │ APACHE 2.0                                         │
│ async-lru                 │ MIT LICENSE                                        │
│ attrs                     │ MIT LICENSE                                        │
│ babel                     │ BSD LICENSE                                        │
│ beautifulsoup4            │ MIT LICENSE                                        │
│ bleach                    │ APACHE SOFTWARE LICENSE                            │
│ certifi                   │ MOZILLA PUBLIC LICENSE 2.0 (MPL 2.0)               │
│ cffi                      │ MIT LICENSE                                        │
│ charset-normalizer        │ MIT LICENSE                                        │
│ comm                      │ BSD LICENSE                                        │
│ contourpy                 │ BSD LICENSE                                        │
│ cycler                    │ BSD LICENSE                                        │
│ datasets                  │ APACHE SOFTWARE LICENSE                            │
│ debugpy                   │ MIT LICENSE                                        │
│ decorator                 │ BSD LICENSE                                        │
│ defusedxml                │ PYTHON SOFTWARE FOUNDATION LICENSE                 │
│ dill                      │ BSD LICENSE                                        │
│ dnspython                 │ ISC LICENSE (ISCL)                                 │
│ executing                 │ MIT LICENSE                                        │
│ fastjsonschema            │ BSD LICENSE                                        │
│ filelock                  │ THE UNLICENSE (UNLICENSE)                          │
│ fonttools                 │ MIT LICENSE                                        │
│ fqdn                      │ MOZILLA PUBLIC LICENSE 2.0 (MPL 2.0)               │
│ frozendict                │ GNU LESSER GENERAL PUBLIC LICENSE V3 (LGPLV3)      │
│ frozenlist                │ APACHE SOFTWARE LICENSE                            │
│ fsspec                    │ BSD LICENSE                                        │
│ h11                       │ MIT LICENSE                                        │
│ httpcore                  │ BSD LICENSE                                        │
│ httpx                     │ BSD LICENSE                                        │
│ huggingface-hub           │ APACHE SOFTWARE LICENSE                            │
│ idna                      │ BSD LICENSE                                        │
│ indexed_bzip2             │ APACHE SOFTWARE LICENSE;; MIT LICENSE              │
│ internetarchive           │ GNU AFFERO GENERAL PUBLIC LICENSE V3               │
│ ipykernel                 │ BSD LICENSE                                        │
│ ipython                   │ BSD LICENSE                                        │
│ ipython-genutils          │ BSD LICENSE                                        │
│ ipywidgets                │ BSD LICENSE                                        │
│ isoduration               │ ISC LICENSE (ISCL)                                 │
│ jedi                      │ MIT LICENSE                                        │
│ joblib                    │ BSD LICENSE                                        │
│ json5                     │ APACHE SOFTWARE LICENSE                            │
│ jsonpatch                 │ BSD LICENSE                                        │
│ jsonpointer               │ BSD LICENSE                                        │
│ jsonschema                │ MIT LICENSE                                        │
